day_of_the_year	cross_correlation_value	median_absolute_deviation	magnitude	latitude	longitude	event_id	year	month	day	hour	min	sec	depth	number_of_stations	decimal_year
2.24278125000000	0.291000000000000	10.2000000000000	1.05000000000000	36.4371000000000	-96.8361000000000	20160903214831.0	2016	1	2	5	49	36	0	10	2016.00614000000
2.25240393518519	0.277000000000000	9.62000000000000	0.770000000000000	36.3835000000000	-96.9274000000000	20160929062455.0	2016	1	2	6	3	27	0	14	2016.00617000000
2.30463483796296	0.280000000000000	9.17000000000000	0.450000000000000	36.4308000000000	-96.8922000000000	20160905025636.0	2016	1	2	7	18	40	0	12	2016.00631000000
2.31711226851852	0.279000000000000	9.48000000000000	0.640000000000000	36.4363000000000	-96.8213000000000	20160903173906.0	2016	1	2	7	36	38	0	10	2016.00635000000
2.41911168981482	0.275000000000000	9.13000000000000	1.14000000000000	36.4228000000000	-96.8724000000000	20160903202847.0	2016	1	2	10	3	31	0	10	2016.00663000000
2.45966608796296	0.275000000000000	9.01000000000000	0.350000000000000	36.4336000000000	-96.9070000000000	20160904101141.0	2016	1	2	11	1	55	0	12	2016.00674000000
2.47390682870370	0.276000000000000	9.53000000000000	0.850000000000000	36.3835000000000	-96.9274000000000	20160929062455.0	2016	1	2	11	22	25	0	14	2016.00678000000
2.58160243055556	0.290000000000000	9.44000000000000	0.630000000000000	36.4314000000000	-96.8599000000000	20160903153141.0	2016	1	2	13	57	30	0	11	2016.00707000000
2.68734895833333	0.269000000000000	9.43000000000000	1.09000000000000	36.4130000000000	-96.8738000000000	20160904180812.0	2016	1	2	16	29	46	0	10	2016.00736000000
2.70663252314815	0.284000000000000	9.78000000000000	1.37000000000000	36.4293000000000	-96.9131000000000	20160903124538.0	2016	1	2	16	57	33	0	12	2016.00742000000
2.72728819444444	0.272000000000000	9.11000000000000	1.73000000000000	36.3974000000000	-96.9966000000000	20160903190223.0	2016	1	2	17	27	17	7.55200000000000	10	2016.00747000000
2.73309664351852	0.279000000000000	9.54000000000000	0.950000000000000	36.4161000000000	-96.8782000000000	20160903175140.0	2016	1	2	17	35	39	0	10	2016.00749000000
2.78065104166667	0.272000000000000	9.25000000000000	1.08000000000000	36.4325000000000	-96.8876000000000	20160905011303.0	2016	1	2	18	44	8	0	10	2016.00762000000
2.78732812500000	0.276000000000000	9.16000000000000	0.740000000000000	36.4288000000000	-96.8789000000000	20160903132631.0	2016	1	2	18	53	45	0	12	2016.00764000000
2.85258912037037	0.274000000000000	9.12000000000000	2.65000000000000	36.4247000000000	-96.8413000000000	20160904040703.0	2016	1	2	20	27	43	0	12	2016.00782000000
2.89764178240741	0.270000000000000	9.11000000000000	0.700000000000000	36.4413000000000	-96.8731000000000	20160903133648.0	2016	1	2	21	32	36	0	12	2016.00794000000
2.95430902777778	0.282000000000000	9.87000000000000	0.900000000000000	36.4529000000000	-96.8512000000000	20160903161351.0	2016	1	2	22	54	12	0	12	2016.00809000000
3.02504629629630	0.274000000000000	9.24000000000000	1.33000000000000	36.3974000000000	-96.9966000000000	20160903190223.0	2016	1	3	0	36	4	7.55200000000000	10	2016.00829000000
3.03558333333333	0.287000000000000	9.79000000000000	0.330000000000000	36.4336000000000	-96.9070000000000	20160904101141.0	2016	1	3	0	51	14	0	12	2016.00832000000
3.35606944444444	0.289000000000000	9.09000000000000	-999.820000000000	36.4050000000000	-96.8117000000000	20160904020657.0	2016	1	3	8	32	44	0	10	2016.00919000000
3.45509027777778	0.270000000000000	9.29000000000000	0.510000000000000	36.4175000000000	-96.8080000000000	20160903134523.0	2016	1	3	10	55	19	0	12	2016.00947000000
3.46813888888889	0.265000000000000	9.53000000000000	1.73000000000000	36.3915000000000	-96.8345000000000	20160903121622.0	2016	1	3	11	14	7	0	15	2016.00950000000
3.58799074074074	0.270000000000000	9.09000000000000	0.580000000000000	36.4214000000000	-96.9087000000000	20160903143531.0	2016	1	3	14	6	42	0	12	2016.00983000000
3.86378240740741	0.261000000000000	9.05000000000000	1.16000000000000	36.4415000000000	-96.8187000000000	20160903145629.0	2016	1	3	20	43	50	65.9910000000000	11	2016.01059000000
3.87256423611111	0.257000000000000	9.08000000000000	2.38000000000000	36.4120000000000	-96.9116000000000	20160903125838.0	2016	1	3	20	56	29	0	16	2016.01061000000
3.92183854166667	0.277000000000000	9.23000000000000	1.42000000000000	36.4247000000000	-96.9088000000000	20160919045033.0	2016	1	3	22	7	26	0	12	2016.01074000000
3.97073206018519	0.275000000000000	9.16000000000000	0.590000000000000	36.4288000000000	-96.8789000000000	20160903132631.0	2016	1	3	23	17	51	0	12	2016.01088000000
3.98031365740741	0.292000000000000	10.4300000000000	1.03000000000000	36.4286000000000	-96.8959000000000	20160904034852.0	2016	1	3	23	31	39	0	11	2016.01090000000
4.00761284722222	0.270000000000000	9.25000000000000	0.590000000000000	36.4212000000000	-96.8336000000000	20160903221149.0	2016	1	4	0	10	57	0	10	2016.01098000000
4.03781539351852	0.283000000000000	9.72000000000000	0.670000000000000	36.4228000000000	-96.8724000000000	20160903202847.0	2016	1	4	0	54	27	0	10	2016.01106000000
4.09442939814815	0.303000000000000	11.2200000000000	0.700000000000000	36.4652000000000	-96.8793000000000	20160904104025.0	2016	1	4	2	15	58	0.0530000000000000	10	2016.01122000000
4.10929108796296	0.256000000000000	9.08000000000000	1.10000000000000	36.4120000000000	-96.9116000000000	20160903125838.0	2016	1	4	2	37	22	0	16	2016.01126000000
4.12563483796296	0.283000000000000	9.55000000000000	0.510000000000000	36.4308000000000	-96.8922000000000	20160905025636.0	2016	1	4	3	0	54	0	12	2016.01130000000
4.15332581018519	0.264000000000000	9.57000000000000	0.910000000000000	36.4120000000000	-96.9116000000000	20160903125838.0	2016	1	4	3	40	47	0	16	2016.01138000000
4.27444212962963	0.287000000000000	10.0200000000000	0.650000000000000	36.4285000000000	-96.8658000000000	20160903200223.0	2016	1	4	6	35	11	0	12	2016.01171000000
4.28614756944444	0.288000000000000	9.17000000000000	-999.840000000000	36.4050000000000	-96.8117000000000	20160904020657.0	2016	1	4	6	52	3	0	10	2016.01174000000
4.39172916666667	0.317000000000000	11.9800000000000	0.770000000000000	36.4293000000000	-96.9131000000000	20160903124538.0	2016	1	4	9	24	5	0	12	2016.01203000000
4.40288657407407	0.279000000000000	9.28000000000000	0.980000000000000	36.4371000000000	-96.8534000000000	20160903123618.0	2016	1	4	9	40	9	0	11	2016.01206000000
4.44307812500000	0.285000000000000	9.51000000000000	0.480000000000000	36.4342000000000	-96.8970000000000	20160904014758.0	2016	1	4	10	38	1	0	12	2016.01217000000
4.45703819444444	0.287000000000000	10.0700000000000	0.750000000000000	36.3906000000000	-96.8916000000000	20160903213157.0	2016	1	4	10	58	8	0	10	2016.01221000000
4.51174479166667	0.273000000000000	9.25000000000000	0.650000000000000	36.4214000000000	-96.9087000000000	20160903143531.0	2016	1	4	12	16	54	0	12	2016.01236000000
4.67129282407407	0.309000000000000	10.8700000000000	2.08000000000000	36.4138000000000	-96.8142000000000	20160903175347.0	2016	1	4	16	6	39	0	12	2016.01280000000
4.77035127314815	0.276000000000000	9.38000000000000	1.01000000000000	36.4247000000000	-96.8272000000000	20160904051235.0	2016	1	4	18	29	18	0	11	2016.01307000000
4.77824884259259	0.271000000000000	9.07000000000000	0.570000000000000	36.4379000000000	-96.9044000000000	20160903214523.0	2016	1	4	18	40	40	0	12	2016.01309000000
4.95072974537037	0.278000000000000	9.57000000000000	1.06000000000000	36.4371000000000	-96.8361000000000	20160903214831.0	2016	1	4	22	49	3	0	10	2016.01356000000
5.00926041666667	0.264000000000000	9.17000000000000	0.690000000000000	36.4286000000000	-96.8959000000000	20160904034852.0	2016	1	5	0	13	20	0	11	2016.01372000000
5.02702025462963	0.272000000000000	9.10000000000000	0.900000000000000	36.3777000000000	-96.9196000000000	20160904013201.0	2016	1	5	0	38	54	0	12	2016.01377000000
5.04230902777778	0.278000000000000	9.43000000000000	0.520000000000000	36.4138000000000	-96.8142000000000	20160903175347.0	2016	1	5	1	0	55	0	12	2016.01381000000
5.05526388888889	0.270000000000000	9.39000000000000	0.680000000000000	36.4212000000000	-96.8336000000000	20160903221149.0	2016	1	5	1	19	34	0	10	2016.01385000000
5.07751273148148	0.271000000000000	9.05000000000000	0.730000000000000	36.3777000000000	-96.9196000000000	20160904013201.0	2016	1	5	1	51	37	0	12	2016.01391000000
5.18138946759259	0.271000000000000	9.29000000000000	1.23000000000000	36.4301000000000	-96.8308000000000	20160903175930.0	2016	1	5	4	21	12	0	12	2016.01420000000
5.34517534722222	0.283000000000000	9.73000000000000	0.480000000000000	36.4342000000000	-96.8970000000000	20160904014758.0	2016	1	5	8	17	3	0	12	2016.01464000000
5.40364872685185	0.257000000000000	9.01000000000000	1.04000000000000	36.4415000000000	-96.8187000000000	20160903145629.0	2016	1	5	9	41	15	65.9910000000000	11	2016.01480000000
5.43052546296296	0.270000000000000	9.19000000000000	0.590000000000000	36.4226000000000	-96.9072000000000	20160903130606.0	2016	1	5	10	19	57	0	12	2016.01488000000
5.60992766203704	0.277000000000000	9.61000000000000	1.47000000000000	36.3974000000000	-96.9966000000000	20160903190223.0	2016	1	5	14	38	17	7.55200000000000	10	2016.01537000000
5.66306944444444	0.276000000000000	9.05000000000000	1.12000000000000	36.3995000000000	-96.9101000000000	20160903174554.0	2016	1	5	15	54	49	0	11	2016.01552000000
5.68476215277778	0.266000000000000	9.06000000000000	1.08000000000000	36.3944000000000	-96.8983000000000	20160904095352.0	2016	1	5	16	26	3	0.0250000000000000	10	2016.01557000000
5.87060937500000	0.262000000000000	9.05000000000000	1.07000000000000	36.4161000000000	-96.8782000000000	20160903175140.0	2016	1	5	20	53	40	0	10	2016.01608000000
5.92233738425926	0.278000000000000	9.41000000000000	0.660000000000000	36.4138000000000	-96.8142000000000	20160903175347.0	2016	1	5	22	8	9	0	12	2016.01623000000
5.95676388888889	0.268000000000000	9.11000000000000	0.570000000000000	36.4379000000000	-96.9044000000000	20160903214523.0	2016	1	5	22	57	44	0	12	2016.01632000000
5.97443113425926	0.252000000000000	9.11000000000000	1.04000000000000	36.4120000000000	-96.9116000000000	20160903125838.0	2016	1	5	23	23	10	0	16	2016.01637000000
6.02070196759259	0.267000000000000	9.24000000000000	1.01000000000000	36.4354000000000	-96.8747000000000	20160903160654.0	2016	1	6	0	29	48	0	12	2016.01650000000
6.20079340277778	0.277000000000000	10	0.420000000000000	36.4363000000000	-96.8213000000000	20160903173906.0	2016	1	6	4	49	8	0	10	2016.01699000000
6.21652835648148	0.277000000000000	9.53000000000000	0.970000000000000	36.4617000000000	-96.8470000000000	20160926040342.0	2016	1	6	5	11	48	0	11	2016.01703000000
6.31914409722222	0.286000000000000	10.2800000000000	0.860000000000000	36.4306000000000	-96.8724000000000	20160903221750.0	2016	1	6	7	39	34	0	11	2016.01731000000
6.32570833333333	0.261000000000000	9.35000000000000	1.59000000000000	36.3544000000000	-96.9172000000000	20160903143154.0	2016	1	6	7	49	1	12.0940000000000	11	2016.01733000000
6.36607696759259	0.298000000000000	10.9700000000000	1.63000000000000	36.4301000000000	-96.8308000000000	20160903175930.0	2016	1	6	8	47	9	0	12	2016.01744000000
6.48586111111111	0.273000000000000	9.19000000000000	0.520000000000000	36.4201000000000	-96.8203000000000	20160904004234.0	2016	1	6	11	39	38	0	10	2016.01777000000
6.56593171296296	0.268000000000000	9.13000000000000	1.69000000000000	36.4214000000000	-96.8484000000000	20160904205202.0	2016	1	6	13	34	56	0	10	2016.01799000000
6.62047916666667	0.276000000000000	9.38000000000000	1.08000000000000	36.3777000000000	-96.9196000000000	20160904013201.0	2016	1	6	14	53	29	0	12	2016.01814000000
6.65849652777778	0.288000000000000	9.62000000000000	1.72000000000000	36.4248000000000	-96.9105000000000	20160903120245.0	2016	1	6	15	48	14	0	14	2016.01824000000
6.69752893518519	0.291000000000000	10.7700000000000	1.07000000000000	36.4161000000000	-96.8782000000000	20160903175140.0	2016	1	6	16	44	26	0	10	2016.01835000000
6.75556076388889	0.276000000000000	9.69000000000000	1.14000000000000	36.3944000000000	-96.8983000000000	20160904095352.0	2016	1	6	18	8	0	0.0250000000000000	10	2016.01851000000
6.77531886574074	0.269000000000000	9.16000000000000	0.580000000000000	36.4214000000000	-96.8484000000000	20160904205202.0	2016	1	6	18	36	27	0	10	2016.01856000000
6.80730208333333	0.269000000000000	9.67000000000000	0.880000000000000	36.4413000000000	-96.8731000000000	20160903133648.0	2016	1	6	19	22	30	0	12	2016.01865000000
6.81938368055556	0.273000000000000	9.51000000000000	1.10000000000000	36.4306000000000	-96.8724000000000	20160903221750.0	2016	1	6	19	39	54	0	11	2016.01868000000
6.89609085648148	0.276000000000000	10.1100000000000	1.22000000000000	36.4130000000000	-96.8738000000000	20160904180812.0	2016	1	6	21	30	22	0	10	2016.01889000000
7.02092187500000	0.276000000000000	9.59000000000000	1.09000000000000	36.4618000000000	-96.8404000000000	20160903173625.0	2016	1	7	0	30	7	0	12	2016.01924000000
7.17370833333333	0.258000000000000	9.24000000000000	1.51000000000000	36.4529000000000	-96.8588000000000	20160926104932.0	2016	1	7	4	10	8	0	13	2016.01965000000
7.23455844907407	0.278000000000000	10.5500000000000	1.72000000000000	36.4529000000000	-96.8588000000000	20160926104932.0	2016	1	7	5	37	45	0	13	2016.01982000000
7.28899537037037	0.284000000000000	9.54000000000000	0.710000000000000	36.4201000000000	-96.8203000000000	20160904004234.0	2016	1	7	6	56	9	0	10	2016.01997000000
7.30897569444444	0.271000000000000	9.23000000000000	2.02000000000000	36.3938000000000	-96.8360000000000	20160904082031.0	2016	1	7	7	24	55	0	10	2016.02002000000
7.44640625000000	0.269000000000000	9.07000000000000	0.950000000000000	36.4529000000000	-96.8512000000000	20160903161351.0	2016	1	7	10	42	49	0	12	2016.02040000000
7.45959490740741	0.267000000000000	9.04000000000000	1.26000000000000	36.4014000000000	-96.8466000000000	20160904083244.0	2016	1	7	11	1	49	0.0740000000000000	11	2016.02044000000
7.63996469907407	0.275000000000000	9.37000000000000	1.08000000000000	36.4170000000000	-96.8628000000000	20160903180704.0	2016	1	7	15	21	32	0	12	2016.02093000000
7.65139814814815	0.275000000000000	9.51000000000000	1.16000000000000	36.4214000000000	-96.9087000000000	20160903143531.0	2016	1	7	15	38	0	0	12	2016.02096000000
7.84802314814815	0.271000000000000	9.12000000000000	0.840000000000000	36.4247000000000	-96.8413000000000	20160904040703.0	2016	1	7	20	21	9	0	12	2016.02150000000
7.90098321759259	0.263000000000000	9.03000000000000	1.73000000000000	36.3699000000000	-96.9643000000000	20160903195149.0	2016	1	7	21	37	24	0	10	2016.02165000000
7.92728587962963	0.273000000000000	9.25000000000000	0.650000000000000	36.3906000000000	-96.8916000000000	20160903213157.0	2016	1	7	22	15	17	0	10	2016.02172000000
7.95284664351852	0.271000000000000	9.44000000000000	0.610000000000000	36.4371000000000	-96.8361000000000	20160903214831.0	2016	1	7	22	52	5	0	10	2016.02179000000
7.99399479166667	0.280000000000000	9.59000000000000	0.630000000000000	36.4379000000000	-96.9044000000000	20160903214523.0	2016	1	7	23	51	21	0	12	2016.02190000000
8.02525115740741	0.261000000000000	9.14000000000000	2.09000000000000	36.4289000000000	-96.8252000000000	20160903235637.0	2016	1	8	0	36	21	0	13	2016.02199000000
8.03267881944444	0.270000000000000	9.09000000000000	2.03000000000000	36.4185000000000	-96.8924000000000	20160904125605.0	2016	1	8	0	47	3	0	12	2016.02201000000
8.12563078703704	0.285000000000000	9.95000000000000	1.59000000000000	36.4301000000000	-96.8308000000000	20160903175930.0	2016	1	8	3	0	54	0	12	2016.02226000000
8.23506134259259	0.272000000000000	9.04000000000000	2.74000000000000	36.4228000000000	-96.8724000000000	20160903202847.0	2016	1	8	5	38	29	0	10	2016.02256000000
